coverage_95_mean,coverage_95_std,dataset,gaussian_nll_mean,gaussian_nll_std,mae_mean,mae_std,mask,model,nrmse_mean,nrmse_std,observed_rmse_mean,observed_rmse_std,parameters,ratio,relative_l2_mean,relative_l2_std,rmse_mean,rmse_std,seeds,uncertainty_error_spearman_mean,uncertainty_error_spearman_std
,,synthetic_boundary,,,0.2867976625760396,0.01875525701348855,random,geo_nft,0.8224550286928812,0.04039626710658023,0.004501946580906709,0.0015924331776226534,1378,0.01,0.4835538963476817,0.02411322148857944,0.374288668235143,0.018795830111753595,3,,
,,synthetic_boundary,,,0.2884911298751831,0.028476469105650944,random,inr,0.8169035116831461,0.07791013352326452,7.959530516169859e-08,1.3684003776245368e-08,8577,0.01,0.48025864362716675,0.045503644512406884,0.3717496395111084,0.03545479524331556,3,,
,,synthetic_boundary,,,0.29902036984761554,0.057450355772566235,random,neural_cp,0.9131133556365967,0.2552796879689328,0.04359830915927887,0.004626820056996892,2508,0.01,0.5368764897187551,0.15034685201030784,0.4156024952729543,0.11662454049190221,3,,
,,synthetic_boundary,,,0.3029452661673228,0.048730334727862014,random,spectral_cp,0.871253252029419,0.1373227118375268,0.15976766993602118,0.030954205088477047,120,0.01,0.5121806760629019,0.08021487150467288,0.3964625100294749,0.062267664564499156,3,,
,,synthetic_boundary,,,0.29830385247866315,0.017375276170333267,random,wrong_spectral_cp,0.9093155463536581,0.060601216658414156,0.048290026684602104,0.022412306757870596,148,0.01,0.5345944762229919,0.035300406942317716,0.413783739010493,0.027156934680772044,3,,
0.816413958867391,0.023644758972518894,synthetic_boundary,1.093583623568217,0.06177262374138137,0.15911738077799478,0.008908402477463533,random,bayesian_spectral_tensor,0.5189764400323232,0.043954290893369836,0.14201674362023672,0.0012698961077541363,168,0.05,0.3052421311537425,0.02537063654670205,0.23637008666992188,0.01986654190126152,3,0.10663979624708493,0.05678656006246833
,,synthetic_boundary,,,0.40155375997225445,0.02060657275279524,random,cp,1.11216135819753,0.06618558020703437,0.01540266846617063,0.0003209300025732491,516,0.05,0.654159406820933,0.03823441816460635,0.5065432290236155,0.029789991924079308,3,,
,,synthetic_boundary,,,0.07659948617219925,0.002961015057026359,random,geo_nft,0.22118690113226572,0.010752716895018277,0.025803697605927784,0.0025793646950424895,1378,0.05,0.13011320432027182,0.006575942423484642,0.10074471682310104,0.004908159525935711,3,,
,,synthetic_boundary,,,0.15932444234689078,0.014081156161165783,random,inr,0.47770240902900696,0.04266727005772159,9.014250205533851e-08,1.4626450300403794e-08,8577,0.05,0.28097003698349,0.024747100606356418,0.2175705929597219,0.01928497576123087,3,,
,,synthetic_boundary,,,0.0938146139184634,0.001354514291686306,random,neural_cp,0.256139208873113,0.003979732228628728,0.09118633220593135,0.006100707641130079,2508,0.05,0.15066646536191305,0.0025559774403585084,0.11666374653577805,0.001780072627929492,3,,
